ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,transfer_factor,elimination_order,fate,notes
A,1,COX,Chris,Australian Cyclists Party,1,719,Transfer,
A,2,RE,Edward,Australian Cyclists Party,1,281,Transfer,
B,1,JANKOWSKI,Frances,The Arts Party,1,674,Transfer,
B,2,FAINGES,Neil,The Arts Party,1,235,Transfer,
C,1,BELL,Trevor,Secular Party of Australia,1,575,Transfer,
C,2,CLARK,Scott,Secular Party of Australia,1,200,Transfer,
D,1,WATT,Murray,Australian Labor Party,0.704438189168024,0,Elected,
D,2,CHISHOLM,Anthony,Australian Labor Party,0.407585166583337,2,Elected,
D,3,MOORE,Claire,Australian Labor Party,0.113929426955029,4,Elected,
D,4,KETTER,Chris,Australian Labor Party,0.014892000304284,830,Elected,
D,5,CASEY,Jane,Australian Labor Party,1,513,Transfer,
D,6,THOMPSON,Cheryl,Australian Labor Party,1,548,Transfer,
E,1,BUCKLEY,Gabe,Liberal Democrats,1,818,Transfer,
E,2,ROOTH,John,Liberal Democrats,1,447,Transfer,
F,1,RADIC,Peter Joseph,Online Direct Democracy - (Empowering the People!),1,620,Transfer,
F,2,MISSINGHAM,David,Online Direct Democracy - (Empowering the People!),1,137,Transfer,
G,1,BRANDIS,George,Liberal National Party of Queensland,0.77955197932277,0,Elected_Left,"Although elected in 2016, George BRANDIS retired from politics, and became High Commissioner to the UK. He was replaced by Amanda STOKER."
G,2,CANAVAN,Matthew,Liberal National Party of Queensland,0.558855429002909,1,Elected,
G,3,McGRATH,James,Liberal National Party of Queensland,0.338211842037216,3,Elected,
G,4,MACDONALD,Ian,Liberal National Party of Queensland,0.119397858344774,5,Elected,
G,5,O'SULLIVAN,Barry,Liberal National Party of Queensland,0.008475581120685,819,Elected,
G,6,LINDGREN,Joanna,Liberal National Party of Queensland,1,566,Transfer,
G,7,RYAN,Dan,Liberal National Party of Queensland,1,438,Transfer,
G,8,RENNICK,Gerard,Liberal National Party of Queensland,1,472,Transfer,
H,1,BEVAN,Paul,Animal Justice Party,1,788,Transfer,
H,2,WATSON,Zade,Animal Justice Party,1,387,Transfer,
I,1,WALTON,Rowell,Katter's Australian Party,1,798,Transfer,
I,2,MARRIOTT,Joy,Katter's Australian Party,1,355,Transfer,
J,1,SOUTHWARD,Marnie,Marriage Equality,1,738,Transfer,
J,2,MORAN,William,Marriage Equality,1,316,Transfer,
K,1,SNELL,Terry,Mature Australia,1,602,Transfer,
K,2,CAMERON,Belinda,Mature Australia,1,218,Transfer,
L,1,GRANT,Suzanne,Nick Xenophon Team,1,808,Transfer,
