ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,transfer_factor,elimination_order,fate,notes
A,1,BOTHE,Darryl,Mature Australia,1,48,Transfer,
A,2,DENNY,Lyndal,Mature Australia,1,19,Transfer,
B,1,WONG,Penny,Australian Labor Party,0.716293101350952,0,Elected,
B,2,FARRELL,Don,Australian Labor Party,0.424233838429122,2,Elected,
B,3,GALLACHER,Alex,Australian Labor Party,0.134556017013117,5,Elected,
B,4,McEWEN,Anne,Australian Labor Party,0,1000,Bag,
B,5,ALLISON,Michael,Australian Labor Party,1,33,Transfer,
B,6,GALLACHER,Bronwyn,Australian Labor Party,1,36,Transfer,
C,1,CRAWFORD,Terence Michael,The Arts Party,1,46,Transfer,
C,2,SANDERS,Charles Andrew Laurence,The Arts Party,1,22,Transfer,
D,1,HANSON-YOUNG,Sarah,The Greens,0.024500033378792,57,Elected,
D,2,SIMMS,Robert,The Greens,1,43,Transfer,
D,3,MOATE,Jody,The Greens,1,28,Transfer,
D,4,DE KOK,Harriet,The Greens,1,30,Transfer,
E,1,BILSON-THOMPSON,Sundance,Australian Cyclists Party,1,41,Transfer,
E,2,HARKER-SMITH,Angus,Australian Cyclists Party,1,10,Transfer,
F,1,XENOPHON,Nick,Nick Xenophon Team,0.645525920393256,0,Elected_Left,"Although elected in 2016, Nick XENOPHON resigned in order to run for election in the Parliament of South Australia. He was replaced by Rex PATRICK. The party has changed its name to the Centre Alliance."
F,2,GRIFF,Stirling,Nick Xenophon Team,0.277344155580333,3,Elected,The party has changed its name to the Centre Alliance.
F,3,KAKOSCHKE-MOORE,Skye,Nick Xenophon Team,0.040791946031568,57,Elected_Left,"Although elected in 2016, Skye KAKOSCHKE-MOORE was disqualified due to foreign citizenship. She was replaced Tim STORER, who is now an independent."
F,4,STORER,Tim,Nick Xenophon Team,1,35,Transfer_Appointed,"Although not elected in 2016, Tim STORER replaced Skye KAKOSCHKE-MOORE after she was disqualified due to foreign citizenship. He is now an independent."
G,1,PAZESKI-NIKOLOSKI,Sasha,Australian Progressives,1,40,Transfer,
G,2,PRIDDEY,Jaz,Australian Progressives,1,18,Transfer,
H,1,BIRMINGHAM,Simon,Liberals,0.760354525811451,0,Elected,
H,2,BERNARDI,Cory,Liberals,0.520945945945945,1,Elected,Cory BERNARDI s now a member of the Australian Conservatives.
H,3,RUSTON,Anne,Liberals,0.284216116925911,4,Elected,
H,4,FAWCETT,David,Liberals,0.134556017013117,6,Elected,
H,5,EDWARDS,Sean,Liberals,1,55,Transfer,
H,6,LIDDLE,Kerrynne,Liberals,1,39,Transfer,
I,1,REES,Kristian,Palmer United Party,1,38,Transfer,
I,2,FILINGERI,Carlo,Palmer United Party,1,8,Transfer,
J,1,GREEN,Nathan,Australian Motoring Enthusiast Party,1,50,Transfer,
J,2,KUERSCHNER,Judith,Australian Motoring Enthusiast Party,1,17,Transfer,
K,1,SADRI,Roostam,Liberal Democrats,1,51,Transfer,
K,2,NOACK,Michael,Liberal Democrats,1,23,Transfer,
L,1,BIRD,Adam Anthony,VOTEFLUX.ORG | Upgrade Democracy!,1,37,Transfer,
L,2,BAKER,Jeff,VOTEFLUX.ORG | Upgrade Democracy!,1,11,Transfer,
M,1,ATTIA,Matt,Christian Democratic Party (Fred Nile Group),1,44,Transfer,
M,2,STEPHEN,Joseph Kelton,Christian Democratic Party (Fred Nile Group),1,13,Transfer,
N,1,DAY,Bob,Family First,0,500,Final_Left,"Although elected in 2016, Bob DAY was disqualified due to an indirect pecuniary interest in an agreement with the Commonwealth. He was replaced by Lucy Gichuhi, who is now a member of the Liberal Party."
N,2,GICHUHI,Lucy,Family First,1,29,Transfer_Appointed,"Although not elected in 2016, Lucy GICHUHI replaced Bob DAY after he was disqualified due to an indirect pecuniary interest in an agreement with the Commonwealth. She is now a member of the Liberal Party."
O,1,BURGESS,Steven David,Pauline Hanson's One Nation,1,56,Transfer,
O,2,NICOLIS,Angelina,Pauline Hanson's One Nation,1,27,Transfer,
P,1,TUAZON-McCHEYNE,Adrian,Marriage Equality,1,49,Transfer,
P,2,BOND,Alex,Marriage Equality,1,25,Transfer,
Q,1,HAHN,John,"Shooters, Fishers and Farmers",1,52,Transfer,
Q,2,CARTER,Nick,"Shooters, Fishers and Farmers",1,20,Transfer,
R,1,PARKER,Ryan Douglas,Marijuana (HEMP) Party,1,54,Transfer,
R,2,SAUNDERS,Margaret,Australian Sex Party,1,31,Transfer,
S,1,MARSH,Wanda Lee,Australian Liberty Alliance,1,47,Transfer,
S,2,HORWOOD,Andrew,Australian Liberty Alliance,1,16,Transfer,
T,1,GROSSER,Lynn-Marie,Derryn Hinch's Justice Party,1,42,Transfer,
T,2,THOMAS,Colin,Derryn Hinch's Justice Party,1,9,Transfer,
U,1,NOBLE,Tania,Animal Justice Party,1,53,Transfer,
U,2,BREAGAN,Emma,Animal Justice Party,1,21,Transfer,
V,1,KNIGHT,Jessica,Voluntary Euthanasia Party,1,45,Transfer,
V,2,BUCKLEY,Kym,Voluntary Euthanasia Party,1,12,Transfer,
W,1,KOZLOW,Alex,Citizens Electoral Council,1,32,Transfer,
W,2,SIEBERT,Paul,Citizens Electoral Council,1,7,Transfer,
UG,1,WATERS,Ron,Antipaedophile Party,1,26,Transfer,
UG,2,COCHRANE,Christopher Mark,Independent,1,24,Transfer,
UG,3,RICHARDS,Adam,Independent,1,34,Transfer,
UG,4,ALI,Mohammad,Independent,1,15,Transfer,
UG,5,SADDLER,Dave,Independent,1,14,Transfer,
UG,6,DAVEY,Malcolm Lloyd,Independent,1,22,Transfer,
