ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,transfer_factor,elimination_order,fate,notes
A,1,HEALY,Graham,Rise Up Australia Party,1,246,Transfer,
A,2,HENAWAY,Lionel,Rise Up Australia Party,1,115,Transfer,
B,1,ROBERTS,Malcolm,Pauline Hanson's One Nation,0.112778555096747,283,Elected,
B,2,DICKSON,Steve,Pauline Hanson's One Nation,1,178,Transfer,
C,1,PALMER,Clive,United Australia Party,1,282,Transfer,
C,2,BREWSTER,Martin David,United Australia Party,1,123,Transfer,
C,3,BATZKE,Yodie,United Australia Party,1,91,Transfer,
D,1,SCARR,Paul,Liberal National Party of Queensland,0.625942824964398,1,Elected,
D,2,MCDONALD,Susan,Liberal National Party of Queensland,0.253871821154526,2,Elected,
D,3,RENNICK,Gerard,Liberal National Party of Queensland,0.012180124493604,287,Elected,
D,4,MACDONALD,Ian,Liberal National Party of Queensland,1,222,Transfer,
D,5,CAMM,Amanda,Liberal National Party of Queensland,1,186,Transfer,
D,6,TOBIN,Nicole,Liberal National Party of Queensland,1,194,Transfer,
E,1,LAHN,Allona,Involuntary Medication Objectors (Vaccination/Fluoride) Party,1,206,Transfer,
E,2,ROWE,Adam,Involuntary Medication Objectors (Vaccination/Fluoride) Party,1,39,Transfer,
F,1,BULLEN,Kris,Climate Action! Immigration Action! Accountable Politicians!,1,230,Transfer,
F,2,STEVENSON,Robyn Lesley,Climate Action! Immigration Action! Accountable Politicians!,1,67,Transfer,
G,1,KELLY,Karagh-Mae,Animal Justice Party,1,270,Transfer,
G,2,COUTTS,Leah Marie,Animal Justice Party,1,127,Transfer,
G,3,HARDY,Belinda,Animal Justice Party,1,95,Transfer,
H,1,WATERS,Larissa,The Greens,0,500,Elected,
H,2,SIDHU,Navdeep Singh,The Greens,1,190,Transfer,
H,3,KLOOT,Johanna,The Greens,1,111,Transfer,
H,4,ELLIS,Raelene,The Greens,1,99,Transfer,
H,5,BERTRAM,Miranda,The Greens,1,131,Transfer,
H,6,KENNEDY,Kirsten,The Greens,1,156,Transfer,
I,1,ANNING,Fraser,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,1,262,Transfer,
I,2,TAYLOR,Paul Arthur Simon,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,1,35,Transfer,
I,3,ABSOLON,Mark,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,1,11,Transfer,
I,4,SANDFORD,Nancy Louise,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,1,7,Transfer,
I,5,CAMERON,Brad,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,1,14,Transfer,
J,1,GREEN,Nita,Australian Labor Party,0.359768247211212,1,Elected,
J,2,KETTER,Chris,Australian Labor Party,0,1000,Bag,
J,3,GILBERT,Frank,Australian Labor Party,1,166,Transfer,
J,4,MAJOR,Tania,Australian Labor Party,1,198,Transfer,
J,5,SCHINNERL,Stacey,Australian Labor Party,1,145,Transfer,
J,6,WARRY,Christina,Australian Labor Party,1,170,Transfer,
K,1,LEWIS,Andrew,Independents For Climate Action Now,1,226,Transfer,
K,2,LOKKERS,Cornel,Independents For Climate Action Now,1,83,Transfer,
K,3,PEAD,Gary,Independents For Climate Action Now,1,25,Transfer,
L,1,BRADLEY,Gregory John,Australian Workers Party,1,214,Transfer,
L,2,WELLSTEAD,Kathleen,Australian Workers Party,1,52,Transfer,
M,1,CAULFIELD,Darren,Australian Better Families,1,234,Transfer,
M,2,FINCH,Adam,Australian Better Families,1,48,Transfer,
M,3,FOX,Rod,Australian Better Families,1,21,Transfer,
N,1,JIGGENS,John,Help End Marijuana Prohibition (HEMP) Party,1,278,Transfer,
N,2,JORDAN,Frank,Help End Marijuana Prohibition (HEMP) Party,1,107,Transfer,
O,1,SHELTON,Lyle,Australian Conservatives,1,258,Transfer,
O,2,LINDGREN,Joanna,Australian Conservatives,1,103,Transfer,
O,3,HORAN,Kate,Australian Conservatives,1,43,Transfer,
P,1,TEMPLE,Lindsay,Labour DLP,1,254,Transfer,
P,2,VINCENT,Sheila Susan,Labour DLP,1,59,Transfer,
Q,1,MARRIOTT,Joy,Katter's Australian Party (KAP),1,274,Transfer,
Q,2,WALLACE,Gregory John,Katter's Australian Party (KAP),1,141,Transfer,
Q,3,WEBB,Alan,Katter's Australian Party (KAP),1,87,Transfer,
R,1,JOHNSTON,Hetty,,1,242,Transfer,
R,2,MUREAU,Sue,,1,20,Transfer,
S,1,MARTIN,Arjay Rase,The Great Australian Party,1,202,Transfer,
S,2,MOOHIN,Tania,The Great Australian Party,1,56,Transfer,
T,1,SELIC,Brandon,Pirate Party,1,238,Transfer,
T,2,WHITICKER,Miles,Pirate Party,1,63,Transfer,
U,1,MURRAY,Cameron,Sustainable Australia,1,210,Transfer,
U,2,SIMPSON,Chris,Sustainable Australia,1,28,Transfer,
V,1,VUGA,Kim,Love Australia or Leave,1,174,Transfer,
V,2,WYATT,Gavin Albert,Love Australia or Leave,1,30,Transfer,
W,1,HODGES,Jeff,"Shooters, Fishers and Farmers",1,152,Transfer,
W,2,POPE,Andrew,"Shooters, Fishers and Farmers",1,119,Transfer,
X,1,MOORE,Tony R,,1,46,Transfer,
X,2,MOORE,Cartia,,1,79,Transfer,
Y,1,BUCKLEY,Gabe,Liberal Democrats,1,135,Transfer,
Y,2,RUSSELL,Lloyd T J,Liberal Democrats,1,149,Transfer,
Z,1,PUKALLUS,Jan,Citizens Electoral Council,1,138,Transfer,
