ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,transfer_factor,elimination_order,fate,notes
A,1,STRINGER,Justin,Australian Conservatives,1,107,Transfer,
A,2,FRAME,Nigel,Australian Conservatives,1,40,Transfer,
B,1,MARTIN,Steve,The Nationals,1,119,Transfer,
B,2,HILDITCH,Wendy,The Nationals,1,24,Transfer,
C,1,DUDLEY,Todd William,Sustainable Australia,1,91,Transfer,
C,2,MACLAY,Christopher Brian,Sustainable Australia,1,18,Transfer,
D,1,McKIM,Nick,The Greens,0.004821695662441,124,Elected,
D,2,HUTCHINSON,Helen,The Greens,1,79,Transfer,
D,3,MARSH,Simone,The Greens,1,61,Transfer,
E,1,COLBECK,Richard,Liberal,0.528181502575602,0,Elected,
E,2,CHANDLER,Claire,Liberal,0.054645488470002,2,Elected,
E,3,DENISON,Tanya,Liberal,1,133,Transfer,
F,1,BEVIS,Karen Louise,Animal Justice Party,1,115,Transfer,
F,2,TURNER,Isobel Bertoz,Animal Justice Party,1,33,Transfer,
G,1,WILLIAMS,Ray,Citizens Electoral Council,1,57,Transfer,
G,2,KUCINA,Steve,Citizens Electoral Council,1,4,Transfer,
H,1,MEAD,Clinton,Liberal Democrats,1,95,Transfer,
H,2,RABEY,Matthew,Liberal Democrats,1,11,Transfer,
I,1,BROWN,Carol,Australian Labor Party,0.400147920170823,0,Elected,
I,2,BILYK,Catryna,Australian Labor Party,0,500,Final,
I,3,SHORT,John,Australian Labor Party,1,87,Transfer,
I,4,SINGH,Lisa,Australian Labor Party,1,138,Transfer,
I,5,ROBERTS,Wayne,Australian Labor Party,1,69,Transfer,
I,6,FLANAGAN,Robert,Australian Labor Party,1,75,Transfer,
J,1,STEPHEN,Matthew,Pauline Hanson's One Nation,0,1000,Bag,
J,2,LAMBERT,Adam,Pauline Hanson's One Nation,1,65,Transfer,
K,1,JONES,Michael,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,1,83,Transfer,
K,2,FALZON,Frank,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,1,28,Transfer,
L,1,LAMBIE,Jacqui,Jacqui Lambie Network,0,500,Final,
L,2,WILLIAMS,Glynn,Jacqui Lambie Network,1,8,Transfer,
L,3,REYNOLDS,Chris,Jacqui Lambie Network,1,15,Transfer,
M,1,INFORMAL,Alfred,Help End Marijuana Prohibition (HEMP) Party,1,111,Transfer,
M,2,OWEN,Matt,Help End Marijuana Prohibition (HEMP) Party,1,43,Transfer,
N,1,MORGAN,Kevin,United Australia Party,1,128,Transfer,
N,2,WILLIAMS,David,United Australia Party,1,53,Transfer,
N,3,GUNNIS,Craig,United Australia Party,1,21,Transfer,
O,1,GARLAND,Craig,,1,99,Transfer,
O,2,DUNCAN,Mark,,1,50,Transfer,
P,1,BYFIELD,Rebecca Anthea,"Shooters, Fishers and Farmers",1,123,Transfer,
P,2,SWANSON,Kim,"Shooters, Fishers and Farmers",1,46,Transfer,
UG,1,BECK,Greg,Australian Better Families,1,73,Transfer,
UG,2,MAV,Steve,Independent,1,103,Transfer,
UG,3,FLANNERY,Francis,Independent,1,31,Transfer,
UG,4,STREET,Karen,Love Australia or Leave,1,37,Transfer,
