ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,transfer_factor,elimination_order,fate,notes
A,1,PRICE,Jacinta Nampijinpa,NT CLP,1,500,Final,
A,2,CIVITARESE,Kris,NT CLP,1,6,Transfer,
B,1,McMAHON,Sam,Liberal Democrats,1,1000,Bag,
B,2,HANSEN,Jed,Liberal Democrats,1,5,Transfer,
C,1,McCARTHY,Malarndirri,A.L.P.,0.008240732764809,13,Elected,
C,2,GANLEY,Kate,A.L.P.,1,8,Transfer,
D,1,LAWRENCE,Lance,Legalise Cannabis Australia,1,14,Transfer,
D,2,HIBBERT,Kelly-Anne,Legalise Cannabis Australia,1,4,Transfer,
E,1,WHYTE,Lamaan,Sustainable Australia Party - Stop Overdevelopment / Corruption,1,11,Transfer,
E,2,BELCHER,Richard,Sustainable Australia Party - Stop Overdevelopment / Corruption,1,2,Transfer,
F,1,ARRIGO,Steve,The Great Australian Party,1,12,Transfer,
F,2,MARCUS,Angela,The Great Australian Party,1,3,Transfer,
G,1,CAMPBELL,Trudy,Citizens Party,1,10,Transfer,
G,2,FLYNN,Peter,Citizens Party,1,1,Transfer,
H,1,ANLEZARK,Jane,The Greens,1,1000,Bag,
H,2,STOKES,Dianne,The Greens,1,7,Transfer,
UG,1,RAJWIN,Raj,United Australia Party,1,9,Transfer,
