ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,transfer_factor,elimination_order,fate,notes
A,1,COX,Dorinda,The Greens (WA),0.00442492020074248,178,Elected,
A,2,CLARKE,River,The Greens (WA),1,138,Transfer,
A,3,COLLINS,Simone,The Greens (WA),1,168,Transfer,
A,4,CLARKE,Donald,The Greens (WA),1,86,Transfer,
A,5,CAHILL,Jordan,The Greens (WA),1,133,Transfer,
A,6,WALLACE,Alex,The Greens (WA),1,113,Transfer,
B,1,CRICHTON,Mike,Australian Christians,1,233,Transfer,
B,2,GROENEWALD,Maryka,Australian Christians,1,123,Transfer,
C,1,McDONALD,James,United Australia Party,1,245,Transfer,
C,2,FORSTER,Rob,United Australia Party,1,81,Transfer,
D,1,LINES,Sue,Australian Labor Party,0.583250340731622,0,Elected,
D,2,STERLE,Glenn,Australian Labor Party,0.283747334807334,1,Elected,
D,3,PAYMAN,Fatima,Australian Labor Party,0,500,Final,
D,4,HELPS,Vicki,Australian Labor Party,1,153,Transfer,
E,1,OBORN,Karen,Sustainable Australia Party - Stop Overdevelopment / Corruption,1,203,Transfer,
E,2,OOSTRYCK,Ryan,Sustainable Australia Party - Stop Overdevelopment / Corruption,1,44,Transfer,
F,1,MITCHELL,Elana,Australian Democrats,1,191,Transfer,
F,2,SIMSON,Simon,Australian Democrats,1,30,Transfer,
G,1,FILING,Paul Anthony,Pauline Hanson's One Nation,0,1000,Bag,
G,2,MUNDY,Sheila,Pauline Hanson's One Nation,1,108,Transfer,
H,1,HARLEY,Petrina,Socialist Alliance,1,173,Transfer,
H,2,SALMON,Alex,Socialist Alliance,1,20,Transfer,
I,1,JOHNSON,Nicola Julia,Legalise Cannabis Australia,1,251,Transfer,
I,2,PEET,Aaron,Legalise Cannabis Australia,1,76,Transfer,
J,1,CULLETON,Rodney Norman,The Great Australian Party,1,221,Transfer,
J,2,VINCI,Samantha Lee,The Great Australian Party,1,39,Transfer,
K,1,GEORGATOS,Gerry,,1,179,Transfer,
K,2,KRAKOUER,Megan,,1,67,Transfer,
L,1,FANTINEL,Kate,Liberal Democrats,1,227,Transfer,
L,2,McLOUGHLIN,Peter,Liberal Democrats,1,94,Transfer,
M,1,KINSELLA,Michelle,Informed Medical Options Party,1,185,Transfer,
M,2,LOCKYER,Leanne,Informed Medical Options Party,1,11,Transfer,
N,1,PIZZEY,Rebecca,Australian Values Party,1,163,Transfer,
N,2,FITZPATRICK,Kathy,Australian Values Party,1,6,Transfer,
O,1,DORN,Amanda,Animal Justice Party,1,215,Transfer,
O,2,McCASKER,Elizabeth Gay,Animal Justice Party,1,35,Transfer,
P,1,TINLEY,Cam,,1,128,Transfer,
P,2,AYRE,Tricia,,1,26,Transfer,
Q,1,WILYMAN,Judy,Australian Federation Party,1,209,Transfer,
Q,2,BARRETT,Leanne,Australian Federation Party,1,48,Transfer,
R,1,CASH,Michaelia,Liberal,0.546791004752065,0,Elected,
R,2,SMITH,Dean,Liberal,0.171654692112752,2,Elected,
R,3,SMALL,Ben,Liberal,1,257,Transfer,
R,4,SUFI,Sherry,Liberal,1,118,Transfer,
S,1,VILJOEN,Tim,"FUSION: Science, Pirate, Secular, Climate Emergency",1,197,Transfer,
S,2,WOODINGS,Adam,"FUSION: Science, Pirate, Secular, Climate Emergency",1,53,Transfer,
T,1,McDOWALL,Matthew,WESTERN AUSTRALIA PARTY,1,239,Transfer,
T,2,MATHESON,Julie,WESTERN AUSTRALIA PARTY,1,99,Transfer,
U,1,BRAILEY,Denise,Citizens Party,1,158,Transfer,
U,2,ROBINSON,Jean,Citizens Party,1,15,Transfer,
V,1,COUNT,Matthew,Federal ICAC Now,1,143,Transfer,
V,2,WATKINS,Dianne,Federal ICAC Now,1,24,Transfer,
UG,1,MURPHY,Ziggi,Independent,1,148,Transfer,
UG,2,BUCKLE,Ashley,Independent,1,91,Transfer,
UG,3,McDONALD,Peter Robert,Independent,1,63,Transfer,
UG,4,VAGH,Yunous,Independent,1,104,Transfer,
UG,5,BURDETT,Bob,Seniors United Party of Australia,1,57,Transfer,
UG,6,PEGRUM,Valentine,Independent,1,72,Transfer,
