ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,transfer_factor,elimination_order,fate
A,1,PILE,Jan,Rise Up Australia Party,0,1000,Bag
A,2,GIMINI,Jimmy,Rise Up Australia Party,0,1000,Bag
B,1,KAVASILAS,Andrew,Marijuana (HEMP) Party,0,1000,Bag
B,2,JONES,Timothy,Australian Sex Party,0,1000,Bag
C,1,CAMPBELL,Trudy,Citizens Electoral Council,0,1000,Bag
C,2,BARRY,Ian,Citizens Electoral Council,0,1000,Bag
D,1,CONNARD,Michael,The Greens,0,1000,Bag
D,2,BANNISTER,Kathy,The Greens,0,1000,Bag
E,1,SCULLION,Nigel,Country Liberals (NT),1,0,Final
E,2,LILLIS,Jenni,Country Liberals (NT),0,1000,Bag
F,1,McCARTHY,Malarndirri,Australian Labor Party (Northern Territory) Branch,1,0,Final
F,2,HONAN,Pat,Australian Labor Party (Northern Territory) Branch,0,1000,Bag
G,1,ORDISH,Carol,Christian Democratic Party (Fred Nile Group),0,1000,Bag
G,2,ORDISH,John,Christian Democratic Party (Fred Nile Group),0,1000,Bag
UG,1,LEE,TS,Independent,0,1000,Bag
UG,2,MARSHALL,Tristan,Online Direct Democracy - (Empowering the People!),0,1000,Bag
UG,3,RYAN,Maurie Japarta,Independent,0,1000,Bag
UG,4,MacDONALD,Marney,Antipaedophile Party,0,1000,Bag
UG,5,STRETTLES,Greg,Independent,0,1000,Bag
