ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,transfer_factor,elimination_order,fate
A,1,COX,Chris,Australian Cyclists Party,,,
A,2,RE,Edward,Australian Cyclists Party,,,
B,1,JANKOWSKI,Frances,The Arts Party,,,
B,2,FAINGES,Neil,The Arts Party,,,
C,1,BELL,Trevor,Secular Party of Australia,,,
C,2,CLARK,Scott,Secular Party of Australia,,,
D,1,WATT,Murray,Australian Labor Party,,,
D,2,CHISHOLM,Anthony,Australian Labor Party,,,
D,3,MOORE,Claire,Australian Labor Party,,,
D,4,KETTER,Chris,Australian Labor Party,,,
D,5,CASEY,Jane,Australian Labor Party,,,
D,6,THOMPSON,Cheryl,Australian Labor Party,,,
E,1,BUCKLEY,Gabe,Liberal Democrats,,,
E,2,ROOTH,John,Liberal Democrats,,,
F,1,RADIC,Peter Joseph,Online Direct Democracy - (Empowering the People!),,,
F,2,MISSINGHAM,David,Online Direct Democracy - (Empowering the People!),,,
G,1,BRANDIS,George,Liberal National Party of Queensland,,,
G,2,CANAVAN,Matthew,Liberal National Party of Queensland,,,
G,3,McGRATH,James,Liberal National Party of Queensland,,,
G,4,MACDONALD,Ian,Liberal National Party of Queensland,,,
G,5,O'SULLIVAN,Barry,Liberal National Party of Queensland,,,
G,6,LINDGREN,Joanna,Liberal National Party of Queensland,,,
G,7,RYAN,Dan,Liberal National Party of Queensland,,,
G,8,RENNICK,Gerard,Liberal National Party of Queensland,,,
H,1,BEVAN,Paul,Animal Justice Party,,,
H,2,WATSON,Zade,Animal Justice Party,,,
I,1,WALTON,Rowell,Katter's Australian Party,,,
I,2,MARRIOTT,Joy,Katter's Australian Party,,,
J,1,SOUTHWARD,Marnie,Marriage Equality,,,
J,2,MORAN,William,Marriage Equality,,,
K,1,SNELL,Terry,Mature Australia,,,
K,2,CAMERON,Belinda,Mature Australia,,,
L,1,GRANT,Suzanne,Nick Xenophon Team,,,
L,2,CROW,Daniel,Nick Xenophon Team,,,
M,1,SELIC,Brandon,Pirate Party Australia,,,
M,2,PURSEHOUSE,Isaac,Pirate Party Australia,,,
N,1,GAYNOR,Bernard William,Australian Liberty Alliance,,,
N,2,BIGGS,Alan,Australian Liberty Alliance,,,
N,3,DOBSON,Chelle,Australian Liberty Alliance,,,
O,1,COTTER,Deb,Derryn Hinch's Justice Party,,,
O,2,HANBIDGE,Karin,Derryn Hinch's Justice Party,,,
P,1,PUKALLUS,Jan,Citizens Electoral Council,,,
P,2,HARDING,Stephen,Citizens Electoral Council,,,
Q,1,TURNER,Michael,"Shooters, Fishers and Farmers",,,
Q,2,GEE,Michael Anthony,"Shooters, Fishers and Farmers",,,
R,1,RIVAS,Sal,,,,
R,2,TANGUILIG,Val,,,,
S,1,VINCENT,Sheila,Democratic Labour Party (DLP),,,
S,2,MAJOOR,Lucius,Democratic Labour Party (DLP),,,
T,1,McGARVIE,Rod,Family First,,,
T,2,BAYNES,Sue,Family First,,,
T,3,HORAN,Kate,Family First,,,
T,4,PELLOWE,David,Family First,,,
U,1,MOYLAN,James,Renewable Energy Party,,,
U,2,GUNDRUM,MaryBeth,Renewable Energy Party,,,
V,1,BRISTOW,Robin,Australian Sex Party,,,
V,2,HOWES,Therese,Marijuana (HEMP) Party,,,
V,3,PATTEN,Kirsty,Australian Sex Party,,,
W,1,GARDNER,Mark,VOTEFLUX.ORG | Upgrade Democracy!,,,
W,2,FLOWERS,Reece,VOTEFLUX.ORG | Upgrade Democracy!,,,
X,1,HANSON,Pauline,Pauline Hanson's One Nation,,,
X,2,ROBERTS,Malcolm,Pauline Hanson's One Nation,,,
X,3,ANNING,Fraser,Pauline Hanson's One Nation,,,
X,4,SMITH,Judy,Pauline Hanson's One Nation,,,
Y,1,TAYLOR,Paul,Rise Up Australia Party,,,
Y,2,MOONEY,Neroli,Rise Up Australia Party,,,
Z,1,HEAD,Mike,Socialist Equality Party,,,
Z,2,COOKE,Erin,Socialist Equality Party,,,
AA,1,SOLOMON,Wayne,Christian Democratic Party (Fred Nile Group),,,
AA,2,SWEERIS-SIGRIST,Ludy Charles,Christian Democratic Party (Fred Nile Group),,,
AB,1,McDONALD,James,Palmer United Party,,,
AB,2,GUNNIS,Craig,Palmer United Party,,,
AC,1,LAZARUS,Glenn,Glenn Lazarus Team,,,
AC,2,WALTERS,Kerrod,Glenn Lazarus Team,,,
AC,3,LOURIGAN,Annette,Glenn Lazarus Team,,,
AD,1,SALTMARSH,Marcus,Jacqui Lambie Network,,,
AD,2,PECKETT,Crystal,Jacqui Lambie Network,,,
AE,1,STEVENS,Ken,Australian Progressives,,,
AE,2,McCORMACK,Jo,Australian Progressives,,,
AF,1,TAYLOR,Shea,Australian Christians,,,
AF,2,BRICE,Malcolm,Australian Christians,,,
AG,1,LYNCH,Deb,Drug Law Reform,,,
AG,2,SMITH,Lorraine,Drug Law Reform,,,
AH,1,WOODFORTH,Jason,Health Australia Party,,,
AH,2,GOLDEN,Sarinah,Health Australia Party,,,
AI,1,MAILLER,Pete,CountryMinded,,,
