ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,transfer_factor,elimination_order,fate
A,1,BOTHE,Darryl,Mature Australia,,,
A,2,DENNY,Lyndal,Mature Australia,,,
B,1,WONG,Penny,Australian Labor Party,,,
B,2,FARRELL,Don,Australian Labor Party,,,
B,3,GALLACHER,Alex,Australian Labor Party,,,
B,4,McEWEN,Anne,Australian Labor Party,,,
B,5,ALLISON,Michael,Australian Labor Party,,,
B,6,GALLACHER,Bronwyn,Australian Labor Party,,,
C,1,CRAWFORD,Terence Michael,The Arts Party,,,
C,2,SANDERS,Charles Andrew Laurence,The Arts Party,,,
D,1,HANSON-YOUNG,Sarah,The Greens,,,
D,2,SIMMS,Robert,The Greens,,,
D,3,MOATE,Jody,The Greens,,,
D,4,DE KOK,Harriet,The Greens,,,
E,1,BILSON-THOMPSON,Sundance,Australian Cyclists Party,,,
E,2,HARKER-SMITH,Angus,Australian Cyclists Party,,,
F,1,XENOPHON,Nick,Nick Xenophon Team,,,
F,2,GRIFF,Stirling,Nick Xenophon Team,,,
F,3,KAKOSCHKE-MOORE,Skye,Nick Xenophon Team,,,
F,4,STORER,Tim,Nick Xenophon Team,,,
G,1,PAZESKI-NIKOLOSKI,Sasha,Australian Progressives,,,
G,2,PRIDDEY,Jaz,Australian Progressives,,,
H,1,BIRMINGHAM,Simon,Liberal,,,
H,2,BERNARDI,Cory,Liberal,,,
H,3,RUSTON,Anne,Liberal,,,
H,4,FAWCETT,David,Liberal,,,
H,5,EDWARDS,Sean,Liberal,,,
H,6,LIDDLE,Kerrynne,Liberal,,,
I,1,REES,Kristian,Palmer United Party,,,
I,2,FILINGERI,Carlo,Palmer United Party,,,
J,1,GREEN,Nathan,Australian Motoring Enthusiast Party,,,
J,2,KUERSCHNER,Judith,Australian Motoring Enthusiast Party,,,
K,1,SADRI,Roostam,Liberal Democrats,,,
K,2,NOACK,Michael,Liberal Democrats,,,
L,1,BIRD,Adam Anthony,VOTEFLUX.ORG | Upgrade Democracy!,,,
L,2,BAKER,Jeff,VOTEFLUX.ORG | Upgrade Democracy!,,,
M,1,ATTIA,Matt,Christian Democratic Party (Fred Nile Group),,,
M,2,STEPHEN,Joseph Kelton,Christian Democratic Party (Fred Nile Group),,,
N,1,DAY,Bob,Family First,,,
N,2,GICHUHI,Lucy,Family First,,,
O,1,BURGESS,Steven David,Pauline Hanson's One Nation,,,
O,2,NICOLIS,Angelina,Pauline Hanson's One Nation,,,
P,1,TUAZON-McCHEYNE,Adrian,Marriage Equality,,,
P,2,BOND,Alex,Marriage Equality,,,
Q,1,HAHN,John,"Shooters, Fishers and Farmers",,,
Q,2,CARTER,Nick,"Shooters, Fishers and Farmers",,,
R,1,PARKER,Ryan Douglas,Marijuana (HEMP) Party,,,
R,2,SAUNDERS,Margaret,Australian Sex Party,,,
S,1,MARSH,Wanda Lee,Australian Liberty Alliance,,,
S,2,HORWOOD,Andrew,Australian Liberty Alliance,,,
T,1,GROSSER,Lynn-Marie,Derryn Hinch's Justice Party,,,
T,2,THOMAS,Colin,Derryn Hinch's Justice Party,,,
U,1,NOBLE,Tania,Animal Justice Party,,,
U,2,BREAGAN,Emma,Animal Justice Party,,,
V,1,KNIGHT,Jessica,Voluntary Euthanasia Party,,,
V,2,BUCKLEY,Kym,Voluntary Euthanasia Party,,,
W,1,KOZLOW,Alex,Citizens Electoral Council,,,
W,2,SIEBERT,Paul,Citizens Electoral Council,,,
UG,1,WATERS,Ron,Antipaedophile Party,,,
UG,2,COCHRANE,Christopher Mark,Independent,,,
UG,3,RICHARDS,Adam,Independent,,,
UG,4,ALI,Mohammad,Independent,,,
UG,5,SADDLER,Dave,Independent,,,
UG,6,DAVEY,Malcolm Lloyd,Independent,,,
