ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,transfer_factor,elimination_order,fate
A,1,HINCH,Derryn,Derryn Hinch's Justice Party,,,
A,2,GRIMLEY,Stuart,Derryn Hinch's Justice Party,,,
B,1,COLLYER,David,,,,
B,2,MITCHELL-COOK,Wanda,,,,
C,1,POON,Bruce,Animal Justice Party,,,
C,2,EDGECOMBE,Jacqueline,Animal Justice Party,,,
D,1,CARR,Kim,Australian Labor Party,,,
D,2,CONROY,Stephen Michael,Australian Labor Party,,,
D,3,COLLINS,Jacinta,Australian Labor Party,,,
D,4,MARSHALL,Gavin,Australian Labor Party,,,
D,5,YANG,Chien-Hui,Australian Labor Party,,,
D,6,PERSSE,Louise,Australian Labor Party,,,
D,7,KENT,Steve,Australian Labor Party,,,
D,8,TARCZON,Les,Australian Labor Party,,,
E,1,JAMES,Luke,Science Party,,,
E,2,DOW,Nik,Australian Cyclists Party,,,
F,1,THOOLEN,Catriona Cecilia,Palmer United Party,,,
F,2,HICKEY,Cameron,Palmer United Party,,,
G,1,DOLAN,Hugh,Jacqui Lambie Network,,,
G,2,TIMSON,Matt,Jacqui Lambie Network,,,
H,1,JANSON,Vickie,Australian Christians,,,
H,2,ARAPOGLOU,Eleni,Australian Christians,,,
H,3,OKUMU,Anne,Australian Christians,,,
I,1,NICHOLLS,Georgia,Sustainable Australia,,,
I,2,ARMSTRONG,Steven,Sustainable Australia,,,
J,1,SIMPSON,Lachlan,Pirate Party,,,
J,2,BURLEIGH,Richard,Pirate Party,,,
K,1,SINNEMA,Chris,Socialist Equality Party,,,
K,2,BYRNE,Peter,Socialist Equality Party,,,
L,1,GOLDEN,Isaac,Health Australia Party,,,
L,2,BREAKWELL,Kathryn,Health Australia Party,,,
M,1,ASKEY,Graham,Renewable Energy Party,,,
M,2,WILSON,Gray,Renewable Energy Party,,,
N,1,LEHRER,Danielle,VOTEFLUX.ORG | Upgrade Democracy!,,,
N,2,MILNE,Stuart James,VOTEFLUX.ORG | Upgrade Democracy!,,,
O,1,BAIN,Peter Timothy,Family First Party,,,
O,2,GREEN,Randell,Family First Party,,,
O,3,MANNERS,Craig,Family First Party,,,
P,1,HANNA,May,Christian Democratic Party (Fred Nile Group),,,
P,2,BOTROS,Stephanie,Christian Democratic Party (Fred Nile Group),,,
Q,1,GODDE,Rose,The Arts Party,,,
Q,2,HENSON,Jamie Christopher,The Arts Party,,,
Q,3,ANDREW,Maureen J,The Arts Party,,,
R,1,VEREKER,Stephen,DLP Democratic Labour,,,
R,2,FREEMAN,Michael,DLP Democratic Labour,,,
S,1,ISHERWOOD,Craig,Citizens Electoral Council,,,
S,2,PEUT,Gabrielle,Citizens Electoral Council,,,
T,1,PERKINS,John,Secular Party of Australia,,,
T,2,CARR,Alice,Secular Party of Australia,,,
U,1,JONES,Daniel,Australian Liberty Alliance,,,
U,2,NICHOLLS,Kenneth,Australian Liberty Alliance,,,
V,1,HALPERN,Naomi,Nick Xenophon Team,,,
V,2,LEE,Justin,Nick Xenophon Team,,,
W,1,MUIR,Ricky,Australian Motoring Enthusiast Party,,,
W,2,MACKLEY,Aaron,Australian Motoring Enthusiast Party,,,
X,1,TUAZON-McCHEYNE,Jason,Marriage Equality,,,
X,2,TOMLINS,Jacqueline,Marriage Equality,,,
Y,1,ROYLANCE,Simon Peter,Pauline Hanson's One Nation,,,
Y,2,CAMERON,Ian John,Pauline Hanson's One Nation,,,
Z,1,CHELLIAH,Lalitha,Socialist Alliance,,,
Z,2,GOODEN,Tim,Socialist Alliance,,,
AA,1,KERR,Garry,Australian Country Party,,,
AA,2,LARKIN,Phil,Australian Country Party,,,
AB,1,MADIGAN,John,MFP,,,
AB,2,GEORGE,Mark,MFP,,,
AC,1,CHIPP,Greg,Drug Law Reform,,,
AC,2,SHERMAN,John,Drug Law Reform,,,
AD,1,SCANLON,David James,Voluntary Euthanasia Party,,,
AD,2,JONES,Miranda,Voluntary Euthanasia Party,,,
AE,1,McCARTHY,Graham,Mature Australia,,,
AE,2,RIDGE,Roy,Mature Australia,,,
AF,1,FIFIELD,Mitch,Liberal,,,
AF,2,McKENZIE,Bridget,The Nationals,,,
AF,3,RYAN,Scott,Liberal,,,
AF,4,PATERSON,James,Liberal,,,
AF,5,HUME,Jane,Liberal,,,
AF,6,OKOTEL,Karina,Liberal,,,
AF,7,TRELOAR,Rebecca,The Nationals,,,
AG,1,WILSON,Jake,"Shooters, Fishers and Farmers",,,
AG,2,CONSTANTINOU,Ethan,"Shooters, Fishers and Farmers",,,
AH,1,SPENDER,Duncan,Liberal Democrats,,,
AH,2,LIMBRICK,David,Liberal Democrats,,,
AI,1,NALLIAH,Daniel,Rise Up Australia Party,,,
AI,2,CRESTANI,Rosalie,Rise Up Australia Party,,,
AJ,1,KNIGHT,David,Australian Progressives,,,
AJ,2,GILMORE,Josh,Australian Progressives,,,
AK,1,DI NATALE,Richard,The Greens,,,
AK,2,RICE,Janet,The Greens,,,
AK,3,COLEMAN,Misha,The Greens,,,
AK,4,KLEIN,Elise,The Greens,,,
AK,5,CRABB,Anna,The Greens,,,
AK,6,SEARLE,James,The Greens,,,
AK,7,MINIFIE,Tasma,The Greens,,,
AK,8,ALDEN,Jennifer,The Greens,,,
AK,9,CAMERON,Judy,The Greens,,,
AK,10,SEKHON,Gurm,The Greens,,,
AK,11,MAGUIRE-ROSIER,Josephine,The Greens,,,
AK,12,READ,Rose,The Greens,,,
AL,1,DOIG,Meredith,Australian Sex Party,,,
AL,2,MULCAHY,Amy,Australian Sex Party,,,
UG,1,JUHASZ,Stephen,Independent,,,
UG,2,ARASU,Karthik,Independent,,,
UG,3,HALL,Dennis,Independent,,,
UG,4,SPASOJEVIC,Dana,Independent,,,
UG,5,KARAGIANNIDIS,John,Independent,,,
UG,6,LUTZ,Geoff,Independent,,,
UG,7,MULL,Allan,Independent,,,
UG,8,RYAN,Chris,Independent,,,
UG,9,VADARLIS,Eric,Independent,,,
UG,10,DICKENSON,Mark Francis,Independent,,,
UG,11,SHMUEL,Immanuel,Independent,,,
UG1,1,FLOYD,Glenn,Independent,,,
UG1,2,URIE,Meredith,Independent,,,
UG1,3,NYE,Trevor William,Independent,,,
UG1,4,HAWKS,Peter John,Independent,,,
UG1,5,BESLIS,Christopher,Independent,,,
